angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"(187, 320, 194, 194)",0.0,0.01,0.69,0.29,0.0,0.01
0.0,"(192, 321, 185, 185)",0.0,0.01,0.76,0.22,0.0,0.01
0.0,"(187, 313, 197, 197)",0.0,0.01,0.91,0.07,0.0,0.01
0.0,"(193, 316, 186, 186)",0.0,0.0,0.88,0.11,0.0,0.01
0.0,"(193, 312, 191, 191)",0.0,0.0,0.76,0.23,0.0,0.0
0.02,"(195, 314, 183, 183)",0.0,0.0,0.34,0.62,0.01,0.0
0.01,"(194, 311, 187, 187)",0.0,0.01,0.21,0.75,0.01,0.0
0.03,"(194, 309, 187, 187)",0.0,0.01,0.41,0.55,0.01,0.0
0.01,"(200, 314, 179, 179)",0.0,0.0,0.36,0.63,0.01,0.0
0.01,"(191, 307, 193, 193)",0.0,0.01,0.86,0.11,0.01,0.01
0.0,"(188, 304, 192, 192)",0.0,0.0,0.95,0.02,0.0,0.02
0.0,"(184, 303, 197, 197)",0.0,0.0,0.9,0.08,0.0,0.01
0.0,"(182, 306, 190, 190)",0.0,0.0,0.95,0.05,0.0,0.0
0.0,"(183, 306, 186, 186)",0.0,0.0,0.97,0.02,0.0,0.0
0.0,"(174, 300, 196, 196)",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"(172, 300, 197, 197)",0.0,0.0,0.93,0.07,0.0,0.0
0.0,"(171, 305, 193, 193)",0.0,0.0,0.65,0.34,0.0,0.0
0.0,"(169, 311, 188, 188)",0.0,0.0,0.49,0.5,0.0,0.0
0.0,"(166, 318, 182, 182)",0.0,0.0,0.59,0.4,0.0,0.0
0.0,"(159, 317, 187, 187)",0.0,0.0,0.34,0.65,0.0,0.0
0.0,"(153, 320, 183, 183)",0.0,0.0,0.41,0.57,0.01,0.0
0.01,"(143, 316, 191, 191)",0.0,0.0,0.48,0.51,0.0,0.0
0.0,"(142, 320, 181, 181)",0.0,0.0,0.57,0.42,0.01,0.0
0.0,"(135, 322, 182, 182)",0.0,0.0,0.53,0.45,0.01,0.0
0.01,"(133, 329, 196, 196)",0.0,0.0,0.35,0.62,0.02,0.0
0.0,"(134, 329, 189, 189)",0.0,0.0,0.91,0.07,0.01,0.0
0.0,"(123, 321, 192, 192)",0.0,0.0,0.85,0.14,0.01,0.0
0.01,"(117, 316, 202, 202)",0.0,0.01,0.78,0.18,0.02,0.01
0.01,"(116, 311, 209, 209)",0.0,0.01,0.85,0.1,0.03,0.0
0.0,"(118, 308, 207, 207)",0.0,0.0,0.97,0.02,0.01,0.0
0.0,"(125, 313, 200, 200)",0.0,0.0,0.97,0.01,0.01,0.01
0.0,"(126, 313, 200, 200)",0.0,0.0,0.93,0.04,0.02,0.0
0.0,"(129, 316, 195, 195)",0.0,0.0,0.52,0.45,0.02,0.0
0.0,"(130, 316, 194, 194)",0.0,0.0,0.57,0.41,0.01,0.0
0.0,"(132, 317, 192, 192)",0.0,0.0,0.48,0.5,0.01,0.0
